"월별(1)","시점",한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,한전 및 자회사,타사,타사,타사,타사,타사,타사,타사,타사,타사,사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),사업자(종합),상용자가,상용자가,상용자가,총발전량,총발전량
"월별(1)","시점",소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,원자력,신재생,집단,내연력,기타,소계,수력,수력,수력,기력,복합화력,신재생,집단,기타,소계,수력,수력,수력,수력,기력,기력,기력,기력,기력,복합화력,원자력,신재생,집단,내연력,기타,소계,한전구입,자가소비,사업자+한전구입,사업자+상용자가
"월별(1)","시점",소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,소계,소계,소계,소계,소계,소계,소계,일반,소수력,유연탄,소계,소계,소계,소계,소계,소계,일반,양수,소수력,소계,무연탄,유연탄,중유,LNG,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"8월","2015",38472669,572393,50520,505854,16020,19557872,666210,18502378,389283,-,4711390,13282426,50704,246242,51643,-,7218470,92452,55309,37143,-,4423017,1476635,1226365,-,45691139,664845,105828,505854,53163,19557872,666210,18502378,389283,-,9134407,13282426,1527339,1472607,51643,-,-,16306,-,45707445,-
"8월","2016",40275529,512729,84856,413645,14228,20102798,735473,18544438,785983,36904,4593583,14651202,150625,211097,53494,-,8839499,181575,131838,49738,205441,4575668,1642924,2233891,-,49115028,694304,216694,413645,63965,20308239,735473,18749879,785983,36904,9169252,14651202,1793549,2444988,53494,-,-,2951,-,49117979,-
"8월","2017",38235049,667020,217315,435068,14637,21849877,369087,21147470,333320,-,3109468,11914437,348333,288624,57291,-,10710217,301250,258287,42963,611934,5455721,1817936,2523376,-,48945266,968270,475602,435068,57600,22461810,369087,21759403,333320,-,8565189,11914437,2166269,2812000,57291,-,-,5855,-,48951121,-
"8월","2018",40724680,523142,77215,428818,17108,22694507,411523,21647283,635700,-,4023503,12752550,391433,293895,45651,-,12481022,177068,137142,39926,807075,6117017,2017572,3362290,-,53205702,700210,214358,428818,57034,23501581,411523,22454358,635700,-,10140520,12752550,2409005,3656184,45651,-,-,29282,-,53234984,-
"8월","2019",38224995,441285,108905,314022,18359,21322120,270457,20948666,102997,-,3454847,12196916,604511,151171,54145,-,13378930,159466,118683,40783,761527,6662411,2450286,3333011,12229,51603925,600751,227587,314022,59142,22083648,270457,21710194,102997,-,10117258,12196916,3054797,3484182,54145,12229,-,37795,-,51641721,-
"8월","2020",37028344,486106,196832,271733,17542,19152660,155300,18761178,121015,115167,3796792,12526259,682866,341251,39266,3144,13875049,588282,538536,49746,807338,6806697,2014383,3138279,520069,50903392,1074388,735368,271733,67287,19959998,155300,19568516,121015,115167,10603489,12526259,2697249,3479530,39266,523212,-,147518,-,51050911,-
"8월","2021",36967040,406859,71216,318187,17456,18365303,238493,17997677,47692,81441,4196822,12779715,848586,326950,39860,2945,14733770,199531,143252,56279,1868362,6867083,2440862,3260288,97644,51700810,606390,214468,318187,73735,20233665,238493,19866039,47692,81441,11063905,12779715,3289448,3587238,39860,100589,...,94986,...,51795796,...
"9월","2015",33954893,443808,59636,370935,13237,16636681,560390,15709191,367100,-,3739780,12789518,49814,248339,46953,-,7002150,66184,41780,24404,-,4239069,1474928,1221968,-,40957043,509992,101416,370935,37641,16636681,560390,15709191,367100,-,7978850,12789518,1524743,1470307,46953,-,-,17796,-,40974839,-
"9월","2016",34220878,507808,85872,400923,21013,16898144,502777,15924473,470893,-,3802099,12681959,52239,236883,41747,-,7612776,117711,69461,48250,-,3886885,1435664,2172516,-,41833654,625519,155333,400923,69263,16898144,502777,15924473,470893,-,7688983,12681959,1487903,2409399,41747,-,-,1838,-,41835493,-
"9월","2017",35201531,504595,70093,419742,14761,19915119,215171,19462697,237250,-,1991560,12332852,341207,91298,24900,-,8981336,169016,131965,37051,300899,4468738,1809573,2233110,-,44182867,673611,202057,419742,51812,20216018,215171,19763596,237250,-,6460298,12332852,2150780,2324408,24900,-,-,13050,-,44195917,-
"9월","2018",33373810,468617,76223,373797,18597,18793228,341558,18271642,180028,-,2385985,11074114,381246,231829,38791,-,10102919,244295,194991,49304,773036,4671613,1984136,2429839,-,43476729,712912,271213,373797,67901,19566264,341558,19044678,180028,-,7057598,11074114,2365382,2661668,38791,-,-,50561,-,43527290,-
"9월","2019",33536839,422712,104442,299648,18622,19544597,183396,19340396,20805,-,2459976,10320798,593791,156006,38959,-,10801506,142845,107062,35783,479671,5430012,1824953,2911909,12115,44338345,565558,211504,299648,54406,20024268,183396,19820067,20805,-,7889988,10320798,2418745,3067914,38959,12115,-,123962,-,44462306,-
"9월","2020",31732039,465670,199410,250835,15425,17490336,17746,16915898,515236,41455,3384824,9292564,734131,320488,40082,3945,12776450,414568,361959,52609,737858,6395332,1983887,2729017,515788,44508489,880238,561369,250835,68034,18228194,17746,17653756,515236,41455,9780155,9292564,2718018,3049505,40082,519733,-,90953,-,44599442,-
"9월","2021",32436599,368578,75044,276903,16631,14558742,48212,14225568,173749,111213,4194077,12172417,761585,334170,42945,4085,12950475,205888,152672,53216,1381314,5879049,2410538,2972948,100738,45387074,574466,227716,276903,69847,15940056,48212,15606882,173749,111213,10073126,12172417,3172124,3307118,42945,104823,...,23229,...,45410303,...
