Year,Month,AT,LT,HT,,,,
2015,7,2.65172941176471,2.25324470588235,3.25373235294118,0,0,0,0
2015,8,2.75803705882353,2.36198705882353,3.36836647058824,0,0,0,0
2015,9,2.30564470588235,1.89200588235294,2.81176470588235,0,0,0,0
2015,10,1.69789470588235,0.865586470588235,2.19521882352941,0,0,0,0
2015,11,1.11157117647059,0.355080588235294,1.60484941176471,0,0,0,0
2015,12,0.405182352941177,-0.189530588235294,0.96568,0,0,0,0
2016,1,-0.0853988235294118,-0.91799,0.689118235294117,0,1.54119666666667,0.950152156862745,2.24064509803922
2016,2,0.23147,-0.277428823529412,1.18925882352941,0,0,0,0
2016,3,0.845150588235294,0.042394705882353,1.65414647058824,0,0,0,0
2016,4,1.55389,1.14988823529412,2.42416941176471,0,0,0,0
2016,5,2.09988058823529,1.54469058823529,2.83545470588235,0,0,0,0
2016,6,2.49255294117647,2.01414294117647,3.03597764705882,0,0,0,0
2016,7,2.82773,2.48389411764706,3.39828117647059,0,0,0,0
2016,8,3.00005588235294,2.28415647058824,3.47703411764706,0,0,0,0
2016,9,2.4564,1.97934647058823,2.98368117647059,0,0,0,0
2016,10,1.79947235294118,1.06888235294118,2.45347941176471,0,0,0,0
2016,11,0.907872941176471,0.230951176470588,1.60642235294118,0,0,0,0
2016,12,0.365283529411765,-0.201102352941176,1.14071764705882,0,0,0,0
2017,1,0.0366141176470588,-0.601398235294118,0.842334117647059,0,1.52255156862745,0.918120245098039,2.25837803921569
2017,2,0.201484117647059,-0.334280588235294,1.08550941176471,0,0,0,0
2017,3,0.767467647058824,0.159914117647059,1.49390411764706,0,0,0,0
2017,4,1.58600764705882,0.937864705882353,2.47112764705882,0,0,0,0
2017,5,2.14887647058824,1.59335117647059,2.96102823529412,0,0,0,0
2017,6,2.51330411764706,1.98309941176471,3.22201882352941,0,0,0,0
2017,7,3.00308882352941,2.69426,3.59297176470588,0,0,0,0
2017,8,2.91835764705882,2.32215941176471,3.55605647058824,0,0,0,0
2017,9,2.43024882352941,1.72589529411765,2.89192823529412,0,0,0,0
2017,10,1.82313529411765,0.98342,2.51924411764706,0,0,0,0
2017,11,0.823657647058824,0.147497058823529,1.71264294117647,0,0,0,0
2017,12,0.0183764705882353,-0.594339411764706,0.751770588235294,0,0,0,0
2018,1,-0.216484705882353,-1.06608411764706,0.576274705882353,0,1.57413661764706,0.884947205882353,2.3590131372549
2018,2,0.0181594117647059,-0.814791764705882,0.861720588235294,0,0,0,0
2018,3,0.998362941176471,0.198338823529412,1.97017235294118,0,0,0,0
2018,4,1.58077882352941,0.738973529411765,2.51491764705882,0,0,0,0
2018,5,2.11597,1.44894352941176,2.86910235294118,0,0,0,0
2018,6,2.62932470588235,2.14292470588235,3.43462470588235,0,0,0,0
2018,7,3.19131588235294,2.62140705882353,3.81689705882353,0,0,0,0
2018,8,3.27152235294118,2.77808823529412,3.96453941176471,0,0,0,0
2018,9,2.47696294117647,1.81597529411765,3.02420588235294,0,0,0,0
2018,10,1.61405823529412,0.960210588235294,2.35803882352941,0,0,0,0
2018,11,1.04038352941176,0.377932941176471,1.78409294117647,0,0,0,0
2018,12,0.169285294117647,-0.582552352941177,1.13357117647059,0,0,0,0
2019,1,0.090945294117647,-0.489590588235294,0.770012352941176,0,1.68468156862745,1.06354318627451,2.46880897058824
2019,2,0.316497647058824,-0.250701764705882,1.16902764705882,0,0,0,0
2019,3,0.952081764705882,0.301757058823529,1.86909941176471,0,0,0,0
2019,4,1.48579647058824,0.755276470588235,2.51927235294118,0,0,0,0
2019,5,2.28992882352941,1.55619117647059,3.20162882352941,0,0,0,0
2019,6,2.62232176470588,2.10435764705882,3.37015764705882,0,0,0,0
2019,7,3.03783176470588,2.67989764705882,3.69918764705882,0,0,0,0
2019,8,3.22577647058824,2.71319588235294,3.84394764705882,0,0,0,0
2019,9,2.69732705882353,2.02532764705882,3.27008176470588,0,0,0,0
2019,10,2.00270823529412,1.26637058823529,2.74888058823529,0,0,0,0
